instance,recent_max,z_score,historical_mean,historical_std
instance-ca087401-04d0-43c7-a397-890f7d088ee7,10.19,39.2,1.09,0.23
instance-8cea7567-1a8e-4eb3-838c-9c00f0a23201,29.83,39.16,7.87,0.56
instance-fc235b6c-79b6-49e7-a19c-28931c9a80a4,7.71,39.07,1.29,0.16
instance-16ca2bb2-2c88-4fb0-8da1-e01d72a0212a,22.23,38.88,6.59,0.4
instance-9dd11058-1b7c-41c1-a242-b61ef8669913,5.08,38.76,1.3,0.1
instance-436fcae4-6cf7-46c0-b609-228889b9ee72,8.44,38.7,1.04,0.19
instance-e3bc9dc9-761b-453a-bf7e-c9973e1aa9d2,8.68,38.54,1.0,0.2
instance-d2527a70-acef-4d5e-bf45-df6e3edba36f,8.6,38.47,1.07,0.2
instance-87a6ed96-d7c1-4c7b-b33a-5b16fdf40403,10.52,38.33,1.1,0.25
instance-fcd2688d-ecd6-4ad6-9b9f-1409df92c519,33.19,38.32,3.36,0.78
instance-117a5d09-7c16-4efe-aa4b-a9f570588f78,8.18,38.16,0.96,0.19
instance-26770d15-41cb-46e6-837a-6a8f68809e18,9.73,38.12,1.03,0.23
instance-01c48db3-47b0-4a9c-a3e6-d07af32b3f18,33.57,38.09,7.93,0.67
instance-3e59eb36-7e6b-4e56-89be-e754ed2d8792,30.37,38.01,16.08,0.38
instance-49433c61-23ea-447a-ad52-3a0665ebe8c2,22.31,37.88,2.7,0.52
instance-a2669d5e-9f28-4fba-9acd-698d5e7877ab,7.82,37.1,4.44,0.09
instance-0f386f24-3ce2-4f22-812c-5e4f2cc4244f,7.87,36.96,3.1,0.13
instance-c94fc457-f67e-43d3-b08f-77c4f35254c0,6.38,36.93,4.39,0.05
instance-0126847d-dcc6-4ded-b79d-f3da53f932c4,19.82,36.77,6.18,0.37
instance-aa964185-293f-4f29-9478-8091fc29c2fc,24.88,36.77,9.15,0.43
instance-39eed1e3-3356-466a-8ab6-6c6b213c8fc7,8.37,36.65,0.99,0.2
instance-b0e22db1-7126-4c60-a0c7-b03d8e627138,31.36,36.61,6.78,0.67
instance-03fdde43-1126-46eb-88c3-b2b8f3fe997a,9.65,36.55,1.09,0.23
instance-cc929c92-5118-48bc-9636-4245958adff7,7.55,36.38,1.32,0.17
instance-08cb2935-e460-4da6-ac70-a69386cf5d6b,3.9,36.01,1.96,0.05
instance-295a423c-6b8d-4ece-8431-4b5e6860d2cd,45.0,35.92,8.58,1.01
instance-330d8546-3df9-4c39-8913-cf15c8e76852,5.3,35.78,2.76,0.07
instance-efa7e51d-07a9-4886-9a18-a9518877b572,39.54,35.72,16.8,0.64
instance-75a2b1fd-b123-4c53-93dc-fe0b47dc2a03,27.83,35.6,7.54,0.57
instance-4e9423e5-bc5b-41d8-b542-b9c22e0dcf4b,9.96,35.59,1.17,0.25
instance-d895a982-7fe3-43a6-88f3-641134415990,16.59,35.58,8.32,0.23
instance-fffebd87-0a48-4d95-a98a-b5d11f1c4998,34.7,35.31,2.15,0.92
instance-ab5e490a-44f9-464c-b9e8-32ce07fd463d,4.42,35.09,1.07,0.1
instance-39bc0a84-527e-4fa7-83c6-ed9a5a0afa5c,9.93,34.86,1.13,0.25
instance-84f23323-c7c8-402f-ad7b-894494e936cb,2.78,34.56,1.45,0.04
instance-91c0adc3-8ea4-4db3-b350-3f99c133080e,6.75,34.56,1.29,0.16
instance-d2f1d4c9-36a9-468c-b0b5-0d1bfa3c329c,10.42,34.37,4.55,0.17
instance-72a55041-0915-4be7-b60b-93ff25fa248e,98.71,34.03,10.98,2.58
instance-46ab9604-e9e1-46bd-a59a-3d9d49bc348d,8.7,33.95,1.06,0.23
instance-4a56c220-bce9-4aff-9769-1eecce93153e,9.68,33.94,1.16,0.25
instance-e8b31721-d6db-45a5-8d12-3cbe520a6374,10.62,33.93,1.11,0.28
instance-b88b1547-eb64-49bc-a931-df754b96e59c,5.39,33.8,2.18,0.1
instance-3cbcebb7-9236-4e4b-8587-d2ef29ce369e,4.89,33.68,2.35,0.08
instance-2b08e81a-9d2d-4e52-bab6-74c14515cf84,2.54,33.67,1.02,0.05
instance-cdc7d7fe-bd69-48c5-868a-a46daba34884,14.87,33.67,2.55,0.37
instance-0e08b3ad-c396-4671-b1dc-799c7b4e5bbf,87.78,33.66,39.9,1.42
instance-f008ad4a-043d-406f-8562-8d03efd8dcb2,5.28,33.33,1.95,0.1
instance-6a26c8f4-aec4-41db-bcc7-1260ab970dbe,5.44,33.26,2.38,0.09
instance-3168b6a3-4c07-41e9-bf32-eafa2fa15889,10.16,33.23,1.36,0.26
instance-50c77f43-03b3-4f87-a240-3aabe5d19854,20.62,33.21,6.86,0.41
