instance,cpu_mean,cpu_median,cpu_p5,cpu_p95,cpu_min,cpu_max,cpu_n,mem_mean,mem_median,mem_p5,mem_p95,mem_min,mem_max,mem_n
instance-003c3a68-4bbc-4f07-9fd7-d09e120fc358,9.9037,9.9299,9.6593,10.2276,9.6138,10.248,60,99.9781,99.9818,99.9541,99.982,99.9539,99.982,60
instance-003cce84-a470-42cd-8e9f-fa171d6279e5,13.5554,15.2547,3.1671,16.4227,3.1671,16.4227,17,97.0931,99.7074,83.4916,99.8037,83.4916,99.8037,17
instance-003d3e97-15ef-4f57-8ce2-2e2bfa958c29,13.08,13.0316,12.5924,13.7252,12.49,13.8486,41,99.9298,99.9346,99.9068,99.9346,99.8929,99.9346,41
instance-003d4273-765e-474f-9b78-63d0ef5c039a,56.2542,56.2542,56.2542,56.2542,56.2542,56.2542,2,89.4988,89.4988,89.4988,89.4988,89.4988,89.4988,2
instance-003df12f-35e3-4a77-91d5-3a490477329d,2.8448,2.8448,2.5633,3.1263,2.5633,3.1263,4,79.1335,79.1335,76.925,81.3419,76.925,81.3419,4
instance-003e0517-6856-4de1-b2f3-a7c5dde5d7ba,2.8636,1.6984,1.6918,5.2005,1.6918,5.2005,6,83.2087,83.7843,82.0068,83.8351,82.0068,83.8351,6
instance-003e96a4-8b26-4670-95ef-58a5cb495b65,17.8831,18.9182,6.9452,19.8327,6.1034,19.9238,67,95.7462,97.1273,77.8113,98.331,74.2783,98.72,67
instance-003eb3e9-8a5c-4271-bc08-77ec846b283c,8.5998,8.555,6.9306,10.2055,6.4121,10.276,62,97.1639,97.1756,97.0235,97.2178,97.0135,97.3027,62
instance-003f37f8-9ccd-4013-83cb-d429f655c4a6,0.6434,0.6434,0.6434,0.6434,0.6434,0.6434,2,3.8493,3.8493,3.8493,3.8493,3.8493,3.8493,2
instance-003f6fd0-71aa-49a2-b528-25f3aa698ed8,2.1484,1.8954,1.5574,3.2636,1.484,3.4083,60,84.4571,83.0299,79.8963,90.2748,79.8743,90.6584,60
instance-003f7137-e90d-4834-a47d-87f4788a440b,3.5106,3.5106,0.8486,6.1726,0.8486,6.1726,4,81.0237,81.0237,77.5375,84.5098,77.5375,84.5098,4
instance-0041beb7-d87c-4f95-bad2-6bd3586ee789,4.9102,4.9102,4.0451,5.7753,4.0451,5.7753,4,18.8028,18.8028,5.272,32.3336,5.272,32.3336,4
instance-0041c59d-8270-40c2-9f00-dbeadef3607f,0.9768,0.9356,0.8922,1.1303,0.8922,1.1303,23,99.6405,99.6569,99.5501,99.6569,99.5501,99.6569,23
instance-004244a3-6977-4f94-8288-b0a65a0bb860,2.861,2.5629,1.8642,5.8313,1.8518,12.8727,66,99.2076,99.2101,99.1963,99.2101,99.1825,99.2101,66
instance-00430d0e-3a8d-44eb-833d-09819ca8b621,4.0668,3.4835,3.2875,5.1959,3.2744,5.262,60,99.2103,99.7087,98.4862,99.7367,98.4857,99.737,60
instance-004384e2-020f-43be-a733-1ca9b3cb1162,10.6583,14.2836,2.3706,16.8416,2.3706,16.8416,15,98.5709,98.4876,98.4597,98.8322,98.4597,98.8322,15
instance-00438570-846b-4d71-9b40-ed091ad4f790,15.5743,18.961,3.6345,19.5587,3.6345,19.5587,17,96.4402,99.6728,83.4425,99.6728,83.4425,99.6728,17
instance-00441201-383c-4499-9d3c-864a36eebd4d,6.4311,6.3565,6.1232,6.8982,6.0346,7.9386,64,96.5287,96.8078,94.8253,97.171,94.2339,97.2867,64
instance-004439af-bed0-48a0-99c6-792bc49f061c,15.5378,15.3196,13.81,16.4156,9.8416,25.3532,51,99.8037,99.8037,99.8037,99.8037,99.8037,99.8037,51
instance-00459279-b38a-4e3c-8d1b-e4938ec453f2,4.7501,4.7501,4.7501,4.7501,4.7501,4.7501,2,58.1066,58.1066,58.1066,58.1066,58.1066,58.1066,2
instance-0046a97a-8cc7-42bf-b417-bcec335fe8a9,1.578,1.578,1.578,1.578,1.578,1.578,1,13.7221,13.7221,13.7221,13.7221,13.7221,13.7221,1
instance-004805cf-fd37-4f6a-a726-2f8510a59424,7.2155,6.3753,4.533,10.4045,4.3731,12.9997,62,99.9922,100.0,99.9444,100.0,99.9348,100.0,62
instance-0049284e-537b-41a6-a5d8-71d47905c47a,4.7002,4.7013,4.3357,5.0218,3.8842,5.1228,68,99.824,99.8288,99.801,99.8288,99.6957,99.8288,68
instance-004938a3-2bf0-4abd-8a75-b9e582dbb4b4,3.3806,0.3359,0.2846,11.8513,0.2814,12.2384,64,99.898,99.9022,99.8856,99.9022,99.8623,99.9022,64
instance-00494485-6870-4068-8c5d-3990ddc03e18,3.1513,2.7481,2.2281,5.1955,2.2144,12.1714,62,99.9399,99.943,99.9152,99.943,99.9152,99.943,62
instance-004961f0-adce-4e59-8926-52e401e2bdaf,1.0325,1.0325,1.0325,1.0325,1.0325,1.0325,2,3.4985,3.4985,3.4985,3.4985,3.4985,3.4985,2
instance-0049d693-bedf-41fa-a2f5-067b7cb6a405,2.8091,2.8091,1.59,4.0282,1.59,4.0282,4,82.6274,82.6274,82.0741,83.1806,82.0741,83.1806,4
instance-004a1a68-b064-49ce-824b-db0551a181da,3.2154,3.1036,3.0236,4.033,3.0236,4.033,18,99.9469,100.0,99.5219,100.0,99.5219,100.0,18
instance-004a3677-6430-4d8f-9923-7b0e14360b79,4.1087,4.5967,0.6938,5.935,0.6905,6.2875,55,98.8407,99.8039,94.0263,99.8076,93.1796,99.8088,55
instance-004abe12-7146-4067-88ff-93960bbdb06f,7.4113,7.4113,7.0834,7.7392,7.0834,7.7392,4,27.0199,27.0199,26.195,27.8449,26.195,27.8449,4
instance-004ad986-5be3-4114-a24d-804a9d3775a1,15.3789,15.6289,8.2464,16.8905,8.2464,16.8905,39,98.4278,98.4521,98.3243,98.463,98.3243,98.463,39
instance-004c1457-f086-47c0-a24b-3f1d025b8d0f,2.6467,1.7968,1.3834,4.7599,1.3834,4.7599,6,72.8588,96.2643,22.4534,99.8585,22.4534,99.8585,6
instance-004c1479-bc6e-45ec-9ef1-066edb5df04c,2.2417,2.2417,2.2417,2.2417,2.2417,2.2417,2,20.4799,20.4799,20.4799,20.4799,20.4799,20.4799,2
instance-004daeb6-6452-4a7c-84d4-9c1b89a84d51,15.3283,17.6958,2.3263,19.3053,2.2774,19.9524,51,97.968,98.2219,96.6055,98.2436,96.5878,98.3008,51
instance-004e6180-c5dc-4952-afd1-9506b5c817f8,3.3906,3.3906,3.3906,3.3906,3.3906,3.3906,2,19.3967,19.3967,19.3967,19.3967,19.3967,19.3967,2
instance-004e8b77-d5c5-42fa-8fec-a3a42989fcae,3.0599,3.0599,3.0599,3.0599,3.0599,3.0599,1,69.9079,69.9079,69.9079,69.9079,69.9079,69.9079,1
instance-004f3b48-9e2b-45e1-941c-57b569167e67,4.4057,4.3511,4.1191,5.1504,4.0977,5.1507,66,99.6033,99.6065,99.5784,99.6078,99.5568,99.6078,66
instance-004f558b-2903-4fe0-9d3e-8aa05e96667e,1.5463,1.5165,1.3708,1.7887,1.3708,1.7887,17,51.6852,51.6879,51.6649,51.6879,51.6649,51.6879,17
instance-004f877a-ca35-4fe6-b7c3-563653c323d0,2.9712,2.9712,2.9712,2.9712,2.9712,2.9712,2,18.6663,18.6663,18.6663,18.6663,18.6663,18.6663,2
instance-0050bffa-8574-4a76-b911-ba36844bbfff,22.5055,22.5055,22.5055,22.5055,22.5055,22.5055,1,91.358,91.358,91.358,91.358,91.358,91.358,1
instance-0051d788-00af-43e2-b4e9-eb45fc14d079,11.2406,11.2115,10.7523,11.7639,10.4379,11.8212,60,99.9666,99.9694,99.9417,99.9702,99.9412,99.9703,60
instance-00525c42-631d-4f0f-a534-1cdf042ade30,8.4453,8.4848,7.8543,9.2016,7.5524,9.4701,64,98.8614,98.8503,98.8503,98.8748,98.8484,98.8912,64
instance-0052d21e-5917-4c58-8fc2-ea0a2d7a4830,2.5554,2.5467,2.455,2.6351,2.3668,3.2842,60,99.611,99.6277,99.5447,99.6277,99.5403,99.6277,60
instance-00543a50-ae32-4f75-89ae-0d80b866f257,7.5852,9.2718,2.1321,9.4023,2.1321,9.4023,11,85.2968,93.7042,57.0652,95.3454,57.0652,95.3454,11
instance-00548100-5c66-4cf7-bfa1-6c441f2d5478,0.3601,0.3643,0.3044,0.3956,0.3022,0.4089,60,99.9494,99.9573,99.9295,99.9573,99.9295,99.9573,60
